               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070142,            0.030313,            0.042167,             0.22302,             0.61741,             0.36466,             0.14589,            0.051754,            0.008847,            0.041161,            0.066903,          3.3097e-07,          3.3097e-07
                   1,            0.057657,            0.025372,            0.041101,             0.41683,             0.74106,             0.50411,             0.29157,            0.040724,           0.0083019,            0.038397,             0.03357,          6.6365e-07,          6.6365e-07
                   2,            0.055169,            0.024739,            0.040127,             0.45746,             0.79503,             0.54775,              0.3236,            0.036138,           0.0080257,            0.036952,           0.0002374,          9.9374e-07,          9.9374e-07
                   3,            0.053553,             0.02457,            0.039604,             0.46882,             0.79484,             0.54733,             0.32463,            0.034881,           0.0078862,            0.036348,          9.9123e-07,          9.9123e-07,          9.9123e-07
                   4,            0.052622,            0.024315,            0.039268,             0.46964,             0.79296,              0.5507,             0.33037,            0.034126,           0.0077923,            0.035756,          9.9123e-07,          9.9123e-07,          9.9123e-07
                   5,            0.051916,            0.024453,            0.038959,             0.47249,             0.79195,             0.55306,             0.33535,             0.03363,            0.007673,            0.035205,          9.8445e-07,          9.8445e-07,          9.8445e-07
                   6,            0.051303,            0.023955,            0.038627,             0.47665,             0.79813,             0.55591,             0.33929,            0.032892,           0.0076021,            0.034724,          9.7577e-07,          9.7577e-07,          9.7577e-07
                   7,            0.050696,            0.024201,            0.038346,             0.48032,             0.80454,             0.55888,              0.3398,            0.032532,           0.0074944,             0.03429,          9.6524e-07,          9.6524e-07,          9.6524e-07
                   8,            0.050161,            0.023831,            0.038077,             0.48327,              0.8173,             0.56427,             0.34171,            0.032217,           0.0074226,            0.033841,          9.5289e-07,          9.5289e-07,          9.5289e-07
                   9,            0.049869,            0.023814,            0.037813,             0.48256,             0.82538,             0.56516,             0.34173,            0.031743,           0.0073485,            0.033439,          9.3877e-07,          9.3877e-07,          9.3877e-07
                  10,             0.04943,            0.023782,             0.03758,             0.48345,             0.82723,              0.5712,             0.34499,            0.031538,           0.0072739,            0.033063,          9.2294e-07,          9.2294e-07,          9.2294e-07
                  11,            0.049132,            0.023695,            0.037327,             0.47872,              0.8303,             0.57351,             0.34345,            0.031344,           0.0072165,            0.032655,          9.0546e-07,          9.0546e-07,          9.0546e-07
                  12,            0.048729,            0.023581,            0.037108,             0.47488,             0.84233,             0.57453,             0.35108,            0.030999,           0.0071551,            0.032287,           8.864e-07,           8.864e-07,           8.864e-07
                  13,             0.04849,            0.023439,            0.036877,             0.47051,             0.84769,             0.58118,             0.35891,            0.030689,           0.0071023,            0.031986,          8.6584e-07,          8.6584e-07,          8.6584e-07
                  14,            0.048173,            0.023513,            0.036654,             0.47292,             0.86037,             0.58882,             0.36024,            0.030491,           0.0070383,            0.031645,          8.4385e-07,          8.4385e-07,          8.4385e-07
                  15,            0.047866,            0.023333,            0.036438,             0.47393,             0.86326,             0.59303,              0.3637,            0.030294,            0.007002,            0.031346,          8.2052e-07,          8.2052e-07,          8.2052e-07
                  16,            0.047647,            0.023383,            0.036194,             0.47151,             0.86668,             0.59048,             0.36471,            0.030182,           0.0069419,             0.03109,          7.9595e-07,          7.9595e-07,          7.9595e-07
                  17,            0.047514,            0.023222,            0.036052,             0.47652,             0.86362,              0.5909,             0.36697,            0.030023,           0.0068937,            0.030824,          7.7023e-07,          7.7023e-07,          7.7023e-07
                  18,            0.047186,            0.023023,            0.035849,             0.48357,             0.86527,             0.59342,             0.36834,            0.029923,           0.0068592,            0.030543,          7.4347e-07,          7.4347e-07,          7.4347e-07
                  19,            0.047029,            0.022932,            0.035668,             0.48651,             0.86131,             0.59238,             0.36992,            0.029768,            0.006826,            0.030334,          7.1576e-07,          7.1576e-07,          7.1576e-07
                  20,              0.0468,            0.023138,            0.035482,             0.49317,             0.85525,             0.59602,             0.37045,            0.029693,           0.0067648,            0.030091,          6.8722e-07,          6.8722e-07,          6.8722e-07
                  21,            0.046733,            0.023077,            0.035345,             0.49481,             0.85602,             0.59503,             0.37204,            0.029577,           0.0067287,            0.029892,          6.5796e-07,          6.5796e-07,          6.5796e-07
                  22,            0.046648,            0.023033,            0.035152,             0.49992,             0.85484,             0.59921,             0.37194,             0.02947,           0.0067004,            0.029702,           6.281e-07,           6.281e-07,           6.281e-07
